team,win_rate,avg_kda,avg_game_time,first_blood_rate,hero_pool
ECHO,0.7200,6.6,0:16:16,0.48,37
RRQ,0.6090,5.2,0:18:31,0.61,37
TV,0.6000,6.9,0:16:41,0.60,29
FCON,0.5500,5.9,0:16:41,0.85,32
INC,0.5330,5.2,0:16:11,0.27,31
ONIC,0.5290,5.7,0:17:50,0.47,39
BLCK,0.5220,5.6,0:15:58,0.48,31
RRQA,0.4620,4.3,0:14:53,0.31,32
THQ,0.4550,3.6,0:14:53,0.64,27
S11,0.4290,3.6,0:14:53,0.29,26
TDK,0.3750,4.7,0:17:20,0.63,24
OT,0.2860,3,0:18:27,0.29,21
MVG,0.2000,4,0:15:29,0.20,15
RSG,0.2000,2.6,0:17:06,0.60,17
BURN,0.0000,2.4,0:17:19,0.20,21
MDH,0.0000,1.2,0:13:46,0.40,18
BREN,0.7188,4.15,0:17:20,0.34,50
RSG_PH,0.5152,3.84,0:17:06,0.32,43
ONIC_PH,0.4571,2.87,0:17:19,0.32,36
OMG,0.4412,2.78,0:13:46,0.31,47
NXPE,0.3714,3.12,0:17:20,0.30,40
TNC,0.2581,2.39,0:18:27,0.29,46
